medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
7F0D6ADE60EF829A5308FB58BA817201,681EA02AB4B298F6565A8719A30BF766,VTS,2013/01/13 4:39,CSH,6,0.5,0.5,0,0,7
1F7AC0BAC6F096CF7332414564DD232B,AC9B7E89F57393F0BD484AE4787DE2E9,VTS,2013/01/13 4:41,CRD,6.5,0.5,0.5,1.4,0,8.9
8F26F4F3008E69F65A0E2165AF9E48E3,124B03E4E34BCBAD0203583F0FC6D984,VTS,2013/01/13 4:43,CSH,8.5,0.5,0.5,0,0,9.5
12B46A3AAAEAD50862647CDDCC705479,E798FDEBD71DA5BF22AF5EF807D60EF7,VTS,2013/01/13 4:38,CRD,7.5,0.5,0.5,1.6,0,10.1
A105D655494EF46AA81DE3463444D4B5,32CE49AC4B6F50D72684EB0B37A6E682,VTS,2013/01/13 4:40,CSH,7,0.5,0.5,0,0,8
6337221680B06AFC43658D3DF883D2C6,572D6974394F8C51BD1EFFADECF1C3CB,VTS,2013/01/13 4:39,CSH,9,0.5,0.5,0,0,10
EDC498F8AB44E4697ECB239CF11E001F,B1515483BAAFBC7DB7677DE5F46764A0,VTS,2013/01/13 4:29,CSH,25,0.5,0.5,0,0,26
1A052D0501F70E8A989BA6BF44A72880,5428D441EB23C859AF5AEA63B3BB6897,VTS,2013/01/13 4:38,CSH,8.5,0.5,0.5,0,0,9.5
49F90D09F4B18C950DB34C9837FD5F6E,B3EF81B3356EBD377C83E11B1085F5D4,VTS,2013/01/13 4:30,CSH,15.5,0.5,0.5,0,0,16.5
F1088AC57DE0D89227D4770B53427A2D,441128AF2489F5C79C8F658C55C376C4,VTS,2013/01/13 4:16,CRD,29.5,0.5,0.5,9,0,39.5
7605CEF44F3D72835498D97AA47CCF11,AE2D814BE6054A0D74F03234B01F2299,VTS,2013/01/13 4:38,CSH,12.5,0.5,0.5,0,0,13.5
085667DDB5779227D5FA7B6C623EE535,A9E021DF57613D5EC9EBBDFA2999981A,VTS,2013/01/13 4:27,CSH,31.5,0.5,0.5,0,0,32.5
0E2CA825AD133D022E902949D3D48128,051E51520D3FF77D6185A9CAF4881877,VTS,2013/01/13 4:50,CSH,9.5,0.5,0.5,0,0,10.5
1E458474C81162E1EF9E4DD5F5D35238,21CCA2C85614A7E5283CBE37F25B54F7,VTS,2013/01/13 4:45,CSH,8.5,0.5,0.5,0,0,9.5
D01B73345CD09E6B5B8B5076436C0482,47DEE702F32D742C2071566690ACF30E,VTS,2013/01/13 4:20,CSH,35.5,0.5,0.5,0,0,36.5
068BBBB507BB54C49473D17F9C6376B4,CFE3E61481F7E65FB280133D2CB735FB,VTS,2013/01/13 11:04,CRD,8.5,0,0.5,1,0,10
94E10E3A3763877CEA55466456D473A5,3D049230C732614B46AB1141D8880AD7,VTS,2013/01/13 11:03,CRD,6.5,0,0.5,3,0,10
CE18A060D58A508FE1D9444CD8EAB3E8,6FE23CFBA28098F47E43554785A8F246,VTS,2013/01/13 11:06,CSH,4,0,0.5,0,0,4.5
A18CC3E9191D21F604DFC2423916E6A2,00567B1CBFD51DDFAC73359B09238922,VTS,2013/01/13 11:00,CRD,14.5,0,0.5,1,0,16
3B7509562B5CAF1713351D0E0C393739,46925C3CD9127068579C796B01DA562C,VTS,2013/01/13 10:52,CSH,9.5,0,0.5,0,0,10
245D870198997560A3A5E74D627EDC8D,FAD2AE2448A842D97E420CCDBE5A9E4E,VTS,2013/01/13 11:04,CSH,5.5,0,0.5,0,0,6
E0DBB7F0BABEA16EF771E3B3BCDD7A9C,086B452CE83DDB523BB01AFDF216E3D5,VTS,2013/01/13 10:58,CSH,15.5,0,0.5,0,0,16
